2025-04-07 14:33:29, 18°C, 17°C, 57%, 590 W/m2, 0.0914%, 6.09%
2025-04-07 14:36:00, 21°C, 2°C, 59%, 549 W/m2, 0.054%, 4.4%
2025-04-07 14:36:03, 20°C, 19°C, 56%, 642 W/m2, 0.0554%, 4.68%
2025-04-07 14:36:08, 22°C, 5°C, 56%, 551 W/m2, 0.0822%, 5.6%
2025-04-07 14:38:50, 22°C, 6°C, 60%, 561 W/m2, 0.0424%, 7.0%
2025-04-07 14:48:38, 28°C, 11°C, 60%, 628 W/m2, 0.0723%, 5.86%
2025-04-07 14:48:41, 25°C, 5°C, 57%, 604 W/m2, 0.0678%, 6.62%
2025-04-07 14:48:46, 18°C, 21°C, 55%, 630 W/m2, 0.0323%, 4.17%
2025-04-07 15:12:58, 24°C, 15°C, 57%, 578 W/m2, 0.0419%, 6.62%
2025-04-07 15:13:04, 21°C, 4°C, 51%, 627 W/m2, 0.0255%, 5.82%
2025-04-07 15:14:53, 30°C, 1°C, 52%, 708 W/m2, 0.0792%, 5.42%
2025-04-07 15:14:58, 18°C, 19°C, 54%, 554 W/m2, 0.0684%, 6.88%
2025-04-07 15:15:03, 30°C, 16°C, 51%, 556 W/m2, 0.0717%, 6.1%
2025-04-07 15:15:09, 18°C, 5°C, 57%, 624 W/m2, 0.0827%, 6.38%
2025-04-07 15:15:15, 21°C, 18°C, 59%, 663 W/m2, 0.0278%, 5.78%
2025-04-07 15:15:20, 19°C, 2°C, 57%, 670 W/m2, 0.085%, 6.47%
2025-04-07 15:15:26, 22°C, 6°C, 58%, 565 W/m2, 0.0517%, 6.92%
2025-04-07 15:15:31, 27°C, 3°C, 56%, 642 W/m2, 0.0313%, 4.14%
